Unnamed: 0, Produção Ambulatorial_Estabel. com cod. SIA_até out/99,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
,Vl.Aprovado por Mes de Processamen segundo UPS CGC/CPF RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UPS CGC/CPF RS,Jul/94,Ago/94,Set/94,Out/94,Nov/94,Dez/94,Jan/95,Fev/95,Mar/95,Abr/95,Mai/95,Jun/95,Jul/95,Ago/95,Set/95,Out/95,Nov/95,Dez/95,Jan/96,Fev/96,Mar/96,Abr/96,Mai/96,Jun/96,Jul/96,Ago/96,Set/96,Out/96,Nov/96,Dez/96,Jan/97,Fev/97,Mar/97,Abr/97,Mai/97,Jun/97,Jul/97,Ago/97,Set/97,Out/97,Nov/97,Dez/97,Jan/98,Fev/98,Mar/98,Abr/98,Mai/98,Jun/98,Jul/98,Ago/98,Set/98,Out/98,Nov/98,Dez/98,Jan/99,Fev/99,Mar/99,Abr/99,Mai/99,Jun/99,Jul/99,Ago/99,Total
PRIVADO,00.063.617/0001-56-HUNING INST DE OFTALMOLOGIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.869999999999997,1021.8000000000001,1944.17,1978.59,1913.5500000000002,2349.13,2496.04,2208.46,2430.39,2733.13,2638.02,9171.300000000001,957.71,2698.4300000000003,2647.69,37216.280000000006
PRIVADO,00.095.775/0001-98-CLINICON LTDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27121.36,23929.52,25106.379999999997,28393.699999999997,28571.6,27854.63,28752.69,28424.440000000002,27630.659999999996,26523.750000000004,24164.73,26322.94,27107.94,35597.42,39073.48,43556.479999999996,43458.5,41111.149999999994,40412.479999999996,44165.700000000004,47037.159999999996,45385.700000000004,44265.77,54027.96000000001,54367.53,53859.44,48527.16,54047.61,54225.310000000005,66930.06000000001,42990.22000000001,57486.24000000002,56884.03000000001,61023.10000000001,63510.79,65031.42,60860.94,65379.090000000004,1633119.08
PRIVADO,00.312.288/0001-30-CLINICA MRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.94,702.3,816.76,415.49,1434.2100000000003,627.86,706.27,854.29,888.2,682.26,635.6400000000001,858.45,740.16,514.28,1220.23,1071.9,1095.85,13579.09
ESTADUAL,00.394.452/0393-01-HOSP DE GUARNICAO DE CRUZ ALTA,208.24000000000007,323.2,230.85,239.50999999999996,178.55,146.88,85.81,47.83,195.58,131.35,276.61,255.25000000000003,248.19,266.66,98.28999999999999,119.27999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3052.08
ESTADUAL,00.394.452/0397-35-HOSP DE GUARNICAO DE SANTIAGO,0,32.160000000000004,0,118.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.93
ESTADUAL,00.394.452/0398-16-HOSP GUAR DE SANTO ANGELO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.970000000000006,56.830000000000005,101.17000000000002,109.71,210.92,131.30999999999997,0,149.69,0,250.52000000000004,225.51000000000002,458.0400000000001,420.15000000000003,169.60000000000002,0,0,0,0,0,0,0,0,0,303.09000000000003,140.22,207.51000000000005,306.58000000000004,0,650.0699999999999,322.5299999999999,457.19,364.92999999999995,558.1100000000001,591.61,372.1500000000001,542.19,694.1100000000001,634.97,8492.68
PRIVADO,00.417.332/0001-76-ITC HEMODINAMICA/NOVO HAMBURGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17404.059999999998,0,22107.86,21167.1,15522.54,17874.44,21167.1,27752.42,31045.08,174040.60000000003
,00.463.322/0001-77-LABORATORIO   SANTA  LUCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5
